original_title,original_author,found_title,publication_year,journal,abstract,text_cleaned,sdg_mapping,mapping_level
Enhancing water levels of degraded bare tropical peatland in West Kalimantan Indonesia: Impacts on CO2 emission from soil respiration,Evi Gusmayanti,"Enhancing water levels of degraded, bare, tropical peatland in West Kalimantan, Indonesia: Impacts on CO2 emission from soil respiration",2018.0,,"D, Burhanuddin, Gusmayanti E, Widiastuti T, Taherzadeh MJ. 2018. Enhancing water levels of degraded, bare, tropical peatland in West Kalimantan, Indonesia: Impacts on CO2 emission from soil respiration. Biodiversitas 19: 522-527. The major drivers of deforestation in West Kalimantan have been the development for large or small-scale expansion of agricultural activities; the establishment of oil palm and other plantations; fire; and degradation of forests particularly from industrial logging. Our previous research findings have shown that such activities in affected peatland areas have lowered the water table levels (down to 0.5-1.0 m depths), and have significantly increased CO2 emissions from the peat soils. It has been demonstrated that unmanaged, lowered water tables in peatlands act as one of the main factors inflating soil carbon emissions - an issue that has assumed global significance in recent decades. Regulating peatland water tables has the potential to mitigate degraded peatland carbon emissions as well as improve the hydrological functions for communities who farm the peatlands. However, we are still uncertain exactly how much impact controlled raising of the peatlands water tables will have on reducing soil CO2 emissions. The research described here aimed to mitigate CO2 emissions by raising and regulating water levels on drained peatland to restore and enhance its hydrological functions. The results confirmed that raising the water table significantly decreases CO2 emissions and improves water availability and management for crop production in the coastal peatland of Kubu Raya district, West Kalimantan. Water levels previously at 60cm below the soil surface were regulated to raise the watertable up to just 30 cm below the surface and this reduced peatland carbon emissions by about 49%. However, longer-term monitoring is required to ensure that the hydrological benefits and CO2 mitigation can be sustained.",enhancing water levels of degraded bare tropical peatland in west kalimantan indonesia impacts on co emission from soil respiration d burhanuddin gusmayanti e widiastuti t taherzadeh mj  enhancing water levels of degraded bare tropical peatland in west kalimantan indonesia impacts on co emission from soil respiration biodiversitas   the major drivers of deforestation in west kalimantan have been the development for large or smallscale expansion of agricultural activities the establishment of oil palm and other plantations fire and degradation of forests particularly from industrial logging our previous research findings have shown that such activities in affected peatland areas have lowered the water table levels down to  m depths and have significantly increased co emissions from the peat soils it has been demonstrated that unmanaged lowered water tables in peatlands act as one of the main factors inflating soil carbon emissions  an issue that has assumed global significance in recent decades regulating peatland water tables has the potential to mitigate degraded peatland carbon emissions as well as improve the hydrological functions for communities who farm the peatlands however we are still uncertain exactly how much impact controlled raising of the peatlands water tables will have on reducing soil co emissions the research described here aimed to mitigate co emissions by raising and regulating water levels on drained peatland to restore and enhance its hydrological functions the results confirmed that raising the water table significantly decreases co emissions and improves water availability and management for crop production in the coastal peatland of kubu raya district west kalimantan water levels previously at cm below the soil surface were regulated to raise the watertable up to just  cm below the surface and this reduced peatland carbon emissions by about  however longerterm monitoring is required to ensure that the hydrological benefits and co mitigation can be sustained,SDG 15,Primer
A cost-efficient method to assess carbon stocks in tropical peat soil,Evi Gusmayanti,A cost-efficient method to assess carbon stocks in tropical peat soil,2012.0,,"Estimation of belowground carbon stocks in tropical wetland forests requires funding for laboratory analyses and suitable facilities, which are often lacking in developing nations where most tropical wetlands are found. It is therefore beneficial to develop simple analytical tools to assist belowground carbon estimation where financial and technical limitations are common. Here we use published and original data to describe soil carbon density (kgC m−3; Cd) as a function of bulk density (gC cm−3; Bd), which can be used to rapidly estimate belowground carbon storage using Bd measurements only. Predicted carbon densities and stocks are compared with those obtained from direct carbon analysis for ten peat swamp forest stands in three national parks of Indonesia. Analysis of soil carbon density and bulk density from the literature indicated a strong linear relationship (Cd = Bd × 495.14 + 5.41, R2 = 0.93, n = 151) for soils with organic C content &gt; 40%. As organic C content decreases, the relationship between Cd and Bd becomes less predictable as soil texture becomes an important determinant of Cd. The equation predicted belowground C stocks to within 0.92% to 9.57% of observed values. Average bulk density of collected peat samples was 0.127 g cm−3, which is in the upper range of previous reports for Southeast Asian peatlands. When original data were included, the revised equation Cd = Bd × 468.76 + 5.82, with R2 = 0.95 and n = 712, was slightly below the lower 95% confidence interval of the original equation, and tended to decrease Cd estimates. We recommend this last equation for a rapid estimation of soil C stocks for well-developed peat soils where C content &gt; 40%.",a costefficient method to assess carbon stocks in tropical peat soil estimation of belowground carbon stocks in tropical wetland forests requires funding for laboratory analyses and suitable facilities which are often lacking in developing nations where most tropical wetlands are found it is therefore beneficial to develop simple analytical tools to assist belowground carbon estimation where financial and technical limitations are common here we use published and original data to describe soil carbon density kgc m cd as a function of bulk density gc cm bd which can be used to rapidly estimate belowground carbon storage using bd measurements only predicted carbon densities and stocks are compared with those obtained from direct carbon analysis for ten peat swamp forest stands in three national parks of indonesia analysis of soil carbon density and bulk density from the literature indicated a strong linear relationship cd  bd     r   n   for soils with organic c content gt  as organic c content decreases the relationship between cd and bd becomes less predictable as soil texture becomes an important determinant of cd the equation predicted belowground c stocks to within  to  of observed values average bulk density of collected peat samples was  g cm which is in the upper range of previous reports for southeast asian peatlands when original data were included the revised equation cd  bd     with r   and n   was slightly below the lower  confidence interval of the original equation and tended to decrease cd estimates we recommend this last equation for a rapid estimation of soil c stocks for welldeveloped peat soils where c content gt ,SDG 9,Tersier
Drainage and land use impacts on changes in selected peat properties and peat degradation in West Kalimantan Province Indonesia,Evi Gusmayanti,"Drainage and land use impacts on changes in selected peat properties and peat degradation in West Kalimantan Province, Indonesia",2010.0,,"Degradation of tropical peats is a global concern due to large Carbon emission and loss of biodiversity. The degradation of tropical peats usually starts when the government drains and clears peat forests into open peats used for food crops, oil palm and industrial timber plantations. Major properties of tropical peat forests are high in Water Contents (WC), Loss on Ignition (LOI) and Total Organic Carbon (TOC), and low in peat pH, Dry Bulk Density (DBD), and Total Nitrogen (TN). In this study, we investigated impacts of drainage and land use change on these properties. We collected peat samples from peat forests, logged over peat forest, industrial timber plantation, community agriculture, and oil palms. We used independent t-tests and oneway ANOVA to analyze mean differences of the research variables. We found that peat pH, DBD, and TN tend to increase. A significant decrease of C/N ratio in oil palm and agriculture sites importantly denotes a high rate of peat decompositions. Water contents, LOI, and TOC are relatively constants. We suggest that changes in pH, DBD, TN and atomic C/N ratio are important indicators for assessing tropical peat degradation. We infer that land use change from tropical peat forests into cleared and drained peats used for intensive timber harvesting, oil palms and industrial timber plantations in Indonesia has greatly degraded major ecological function of tropical peats as Carbon storage.",drainage and land use impacts on changes in selected peat properties and peat degradation in west kalimantan province indonesia degradation of tropical peats is a global concern due to large carbon emission and loss of biodiversity the degradation of tropical peats usually starts when the government drains and clears peat forests into open peats used for food crops oil palm and industrial timber plantations major properties of tropical peat forests are high in water contents wc loss on ignition loi and total organic carbon toc and low in peat ph dry bulk density dbd and total nitrogen tn in this study we investigated impacts of drainage and land use change on these properties we collected peat samples from peat forests logged over peat forest industrial timber plantation community agriculture and oil palms we used independent ttests and oneway anova to analyze mean differences of the research variables we found that peat ph dbd and tn tend to increase a significant decrease of cn ratio in oil palm and agriculture sites importantly denotes a high rate of peat decompositions water contents loi and toc are relatively constants we suggest that changes in ph dbd tn and atomic cn ratio are important indicators for assessing tropical peat degradation we infer that land use change from tropical peat forests into cleared and drained peats used for intensive timber harvesting oil palms and industrial timber plantations in indonesia has greatly degraded major ecological function of tropical peats as carbon storage,SDG 17,Sekunder
Modelling risk of sustainable rice supply chain (SRSC) to achieve food security for emerging economies,Novira Kusrini,Modelling risk of sustainable rice supply chain (SRSC) to achieve food security for emerging economies,2025.0,,"Rice is an essential determinant of food security in some developing countries as it has become the state’s staple food. Due to its essential role, rice supplies have been studied over the years. For this reason, it is essential to ensure quantity and quality availability, safety, distribution and affordability from input suppliers, farmers and milling industries to consumers. This study aims to assess and evaluate the relationship between sustainability risk factors for each rice supply chain actor to minimise uncertainty and losses in the supply chain and achieve a sustainable rice supply chain (SRSC). Design/methodology/approach A total of 50 sub-risk factors for the rice supply chain, divided into four sustainability dimensions, were derived through a literature review. Next, it was identified through interviews with 12 experts in 2 stages: the first stage, reviewing the literature review results, and the second stage, finalising with Pareto analysis. Each stage produces 28 and 21 sub-risk factors. Fuzzy-decision-making trial and evaluation analysis was used to evaluate the relationship between sub-risk factors in the context of SRSC. Findings The sub-risk factors that need to be managed to achieve SRSC are climate change risk (floods and rainfall) from the environmental dimension (case group) and operational risk (loss of low-quality results) from the process dimension (impact group). These practical findings provide actionable insights for supply chain actors and contribute to a deeper understanding of the complexities of the rice supply chain. Research limitations/implications This study underscores the urgent need for a comprehensive understanding of the risks faced by all actors in the rice supply chain. Such an understanding is crucial for future research and practical applications, and it is the key to ensuring the sustainability and security of the rice supply chain. Originality/value To the best of the authors’ knowledge, this is the first comprehensive study in the context of SRSC that evaluates the relationship between risk factors to achieve food security in developing countries.",modelling risk of sustainable rice supply chain srsc to achieve food security for emerging economies rice is an essential determinant of food security in some developing countries as it has become the states staple food due to its essential role rice supplies have been studied over the years for this reason it is essential to ensure quantity and quality availability safety distribution and affordability from input suppliers farmers and milling industries to consumers this study aims to assess and evaluate the relationship between sustainability risk factors for each rice supply chain actor to minimise uncertainty and losses in the supply chain and achieve a sustainable rice supply chain srsc designmethodologyapproach a total of  subrisk factors for the rice supply chain divided into four sustainability dimensions were derived through a literature review next it was identified through interviews with  experts in  stages the first stage reviewing the literature review results and the second stage finalising with pareto analysis each stage produces  and  subrisk factors fuzzydecisionmaking trial and evaluation analysis was used to evaluate the relationship between subrisk factors in the context of srsc findings the subrisk factors that need to be managed to achieve srsc are climate change risk floods and rainfall from the environmental dimension case group and operational risk loss of lowquality results from the process dimension impact group these practical findings provide actionable insights for supply chain actors and contribute to a deeper understanding of the complexities of the rice supply chain research limitationsimplications this study underscores the urgent need for a comprehensive understanding of the risks faced by all actors in the rice supply chain such an understanding is crucial for future research and practical applications and it is the key to ensuring the sustainability and security of the rice supply chain originalityvalue to the best of the authors knowledge this is the first comprehensive study in the context of srsc that evaluates the relationship between risk factors to achieve food security in developing countries,SDG 9,Tersier
Investigating the role of brand image and halal labels on purchase decisions: An empirical study of rice processing firms,Novira Kusrini,Investigating the role of brand image and halal labels on purchase decisions: An empirical study of rice processing firms,2023.0,,"study aims to examine the effect of halal labels on purchasing decisions with brand image as an intervening variable in rice processing companies. The study investigates the effect of halal labels on purchasing decisions, the effect of the halal label on brand image and the effect of brand image on purchasing decisions. The research method is quantitative and carried out using an online questionnaire distributed through social media. Determination of the research sample used a purposive sampling method, with the criteria of consumers of rice processing companies domiciled in the last year. 345 filled questionnaires were collected and processed using structural equation modeling (SEM). The results show that the halal label and brand image had a significant effect on purchasing decisions, brand image also played a mediating variable between the effect of halal labels and purchasing decisions. The study contributes to the theory that halal labels and brand image had a positive impact on purchase intentions. Company managers apply a halal label and create a brand image to increase purchase intention. Meanwhile for the industry, the research can be an important reference for consumer responses. Moreover, for academics, the results of this study become a reference for knowledge related to factors related to consumer purchasing decisions in consuming rice including the halal label, price, and brand image aspects.",investigating the role of brand image and halal labels on purchase decisions an empirical study of rice processing firms study aims to examine the effect of halal labels on purchasing decisions with brand image as an intervening variable in rice processing companies the study investigates the effect of halal labels on purchasing decisions the effect of the halal label on brand image and the effect of brand image on purchasing decisions the research method is quantitative and carried out using an online questionnaire distributed through social media determination of the research sample used a purposive sampling method with the criteria of consumers of rice processing companies domiciled in the last year  filled questionnaires were collected and processed using structural equation modeling sem the results show that the halal label and brand image had a significant effect on purchasing decisions brand image also played a mediating variable between the effect of halal labels and purchasing decisions the study contributes to the theory that halal labels and brand image had a positive impact on purchase intentions company managers apply a halal label and create a brand image to increase purchase intention meanwhile for the industry the research can be an important reference for consumer responses moreover for academics the results of this study become a reference for knowledge related to factors related to consumer purchasing decisions in consuming rice including the halal label price and brand image aspects,SDG 6,Sekunder
AHP-goal programming as the optimization method for management model in oil palm empty bunches waste,Novira Kusrini,AHP-goal programming as the optimization method for management model in oil palm empty bunches waste,2022.0,,"This study aims to determine the optimum model of oil palm empty bunches (OPEB) management, to determine the optimal number of OPEB in waste management, which is then recommended to the company, and to know the achievement of various goals/targets with limited availability of resources. Design/methodology/approach This research uses quantitative and qualitative approaches. Quantitative approach is done by processing the data for financing and profit analysis in OPEB waste management which is then used for resource approach. A qualitative approach is undertaken for weighing purposes in the analytic hierarchical program (AHP) analysis. The research location was determined purposively in the crude palm oil mill of PT. Pundi Lahan Khatulistiwa in Ambawang, Kubu Raya Regency. Findings In order that the optimal settlement can achieve the goal/target of minimal environmental pollution, low cost and profit gain, the amount of OPEB that must be managed by the company is 311 tons prioritized for productive plants compost of 66.67 tons, organic fertilizer of 11 tons and mushroom growing media of 233.33 tons. Consequently, the company's cost of IDR 4.000.000.000 still spares IDR 2.004.694.000. The OPEB management as oyster mushroom promises a relatively high profit compared to other OPEB managements even though the cost is not the least. Originality/value This research is one of the few studies that examines the waste management model of palm oil empty bunches, mainly located in West Kalimantan, Indonesia. Originality is seen from the use of optimization analysis tools with integration of AHP with goal programming.",ahpgoal programming as the optimization method for management model in oil palm empty bunches waste this study aims to determine the optimum model of oil palm empty bunches opeb management to determine the optimal number of opeb in waste management which is then recommended to the company and to know the achievement of various goalstargets with limited availability of resources designmethodologyapproach this research uses quantitative and qualitative approaches quantitative approach is done by processing the data for financing and profit analysis in opeb waste management which is then used for resource approach a qualitative approach is undertaken for weighing purposes in the analytic hierarchical program ahp analysis the research location was determined purposively in the crude palm oil mill of pt pundi lahan khatulistiwa in ambawang kubu raya regency findings in order that the optimal settlement can achieve the goaltarget of minimal environmental pollution low cost and profit gain the amount of opeb that must be managed by the company is  tons prioritized for productive plants compost of  tons organic fertilizer of  tons and mushroom growing media of  tons consequently the companys cost of idr  still spares idr  the opeb management as oyster mushroom promises a relatively high profit compared to other opeb managements even though the cost is not the least originalityvalue this research is one of the few studies that examines the waste management model of palm oil empty bunches mainly located in west kalimantan indonesia originality is seen from the use of optimization analysis tools with integration of ahp with goal programming,SDG 15,Primer
The role of digital leadership system of information and service quality on e-learning satisfaction,Novira Kusrini,"The role of digital leadership, system of information, and service quality on e-learning satisfaction",2022.0,,"study aims to determine and analyze the influence of private university digital leadership and information system success models (system quality, information quality, service quality) on the satisfaction of e-learning users of agricultural students. This research method is a quantitative survey, and the number of research samples is 323 agricultural students who were selected by a random sampling system. The sampling technique used is simple random sampling. The analytical method used is SEM with the help of SmartPLS 3.0 software. The results show that the role of digital leadership had a significant positive effect on the three variables of the information system success model. Likewise, system quality, information quality, and service quality have a significant positive and significant effect on user satisfaction of e-learning systems. This finding can increase the exploration ability of agricultural students as users to obtain various agricultural information. This finding confirms previous studies which state that usage has a significant effect on user satisfaction. Suggestions for further research, in this study only involves a single student perspective. Future research is recommended to use the perspective of the organization/institution (e-learning system management unit), lecturers, and university employees and agricultural stakeholders.",the role of digital leadership system of information and service quality on elearning satisfaction study aims to determine and analyze the influence of private university digital leadership and information system success models system quality information quality service quality on the satisfaction of elearning users of agricultural students this research method is a quantitative survey and the number of research samples is  agricultural students who were selected by a random sampling system the sampling technique used is simple random sampling the analytical method used is sem with the help of smartpls  software the results show that the role of digital leadership had a significant positive effect on the three variables of the information system success model likewise system quality information quality and service quality have a significant positive and significant effect on user satisfaction of elearning systems this finding can increase the exploration ability of agricultural students as users to obtain various agricultural information this finding confirms previous studies which state that usage has a significant effect on user satisfaction suggestions for further research in this study only involves a single student perspective future research is recommended to use the perspective of the organizationinstitution elearning system management unit lecturers and university employees and agricultural stakeholders,SDG 9,Tersier
A study of sustainable peat cultivation implemented by the community of Tumbang Nusa Village Central Kalimantan,Novira Kusrini,"A study of sustainable peat cultivation implemented by the community of Tumbang Nusa Village, Central Kalimantan",2022.0,,"Peatlands have enormous potential to produce food sources for supporting population growth. Farmers generally prefer plants that can adapt to changing conditions. However, challenges remain, such as limited knowledge of local community about peatlands’ function and management. Local community practices endogenous knowledge to manage peatlands, but it is rarely documented as best practice for peatlands management in Indonesia. This study aims to understand endogenous management implemented by local community for sustainable peat cultivation. The management is currently considered as the best solution to solve problems related to peatlands management. The study was carried out in Tumbang Nusa Village, Pulang Pisau Regency, Central Kalimantan Province, using a semi-participatory approach with a stratified purposive sampling for selecting participants of in-depth interviews and field observations. An investigation of endogenous management related to biophysical aspects that determines sustainability was done by identifying main characteristics of peatlands in the dry season. The data were analyzed qualitatively by using Use Value. The results show that the community applied agroforestry systems interspersed with introduced plants. There were seven patterns implemented by the community, including pineapple-forest crops-seasonal fruit-food based, rubber-forest crops-seasonal fruit/food-based, a combination of forest plants, a combination of forest plants-annual introduced plants, a combination of forest plants-annual/food crops, and a combination of annual crops. The seven patterns based on the local wisdom are suitable for peatlands. It is in accordance with modern peat management which considered as the form of a pure Paludiculture and an intensive semi Paludiculture.",a study of sustainable peat cultivation implemented by the community of tumbang nusa village central kalimantan peatlands have enormous potential to produce food sources for supporting population growth farmers generally prefer plants that can adapt to changing conditions however challenges remain such as limited knowledge of local community about peatlands function and management local community practices endogenous knowledge to manage peatlands but it is rarely documented as best practice for peatlands management in indonesia this study aims to understand endogenous management implemented by local community for sustainable peat cultivation the management is currently considered as the best solution to solve problems related to peatlands management the study was carried out in tumbang nusa village pulang pisau regency central kalimantan province using a semiparticipatory approach with a stratified purposive sampling for selecting participants of indepth interviews and field observations an investigation of endogenous management related to biophysical aspects that determines sustainability was done by identifying main characteristics of peatlands in the dry season the data were analyzed qualitatively by using use value the results show that the community applied agroforestry systems interspersed with introduced plants there were seven patterns implemented by the community including pineappleforest cropsseasonal fruitfood based rubberforest cropsseasonal fruitfoodbased a combination of forest plants a combination of forest plantsannual introduced plants a combination of forest plantsannualfood crops and a combination of annual crops the seven patterns based on the local wisdom are suitable for peatlands it is in accordance with modern peat management which considered as the form of a pure paludiculture and an intensive semi paludiculture,"SDG 15, SDG 9",Tersier
Factors affecting communities in adopting sustainable peat cultivation techniques and strategies for implementation (a case study in Pulang Pisau Central Kalimantan),Novira Kusrini,"Factors affecting communities in adopting sustainable peat cultivation techniques and strategies for implementation (a case study in Pulang Pisau, Central Kalimantan)",2021.0,,"Peatlands have the primary source of livelihood for the surrounding communities, even though peatlands’ cultivation has several limiting factors. Drainage in peat cultivation has the potential to cause fires. Social and economic interests often conflict with ecological interests. The research was conducted in Pulang Pisau District using a semi-participatory approach through field observations, in-depth interviews with key informants, and focus group discussions. The study uses the descriptive qualitative method in the data analysis. The results showed that factors that influence the adoption of sustainable peat management techniques are: i) the introduced technique is following the community’s social and cultural characteristics, but most of the people belong to the early majority and late majority category; ii) the intrinsic nature of the innovation; iii) the absence of collective decision making to implement land clearing without burning and iv) lack of assistance. The study recommended five policy strategy: i) preparing peat-adaptive commodity market; ii) encouraging incentives for implementing non-burning land clearing; iii) coordination and synergy between institutions; iv) selection of superior rubber seed and Cajuput plantation as a substitute for galam, and v) development of participatory agrosilvofishery demonstration plots.",factors affecting communities in adopting sustainable peat cultivation techniques and strategies for implementation a case study in pulang pisau central kalimantan peatlands have the primary source of livelihood for the surrounding communities even though peatlands cultivation has several limiting factors drainage in peat cultivation has the potential to cause fires social and economic interests often conflict with ecological interests the research was conducted in pulang pisau district using a semiparticipatory approach through field observations indepth interviews with key informants and focus group discussions the study uses the descriptive qualitative method in the data analysis the results showed that factors that influence the adoption of sustainable peat management techniques are i the introduced technique is following the communitys social and cultural characteristics but most of the people belong to the early majority and late majority category ii the intrinsic nature of the innovation iii the absence of collective decision making to implement land clearing without burning and iv lack of assistance the study recommended five policy strategy i preparing peatadaptive commodity market ii encouraging incentives for implementing nonburning land clearing iii coordination and synergy between institutions iv selection of superior rubber seed and cajuput plantation as a substitute for galam and v development of participatory agrosilvofishery demonstration plots,"SDG 15, SDG 9",Tersier
The performance improvement of sustainable palm oil supply chain management after COVID-19: Priority indicators using F-AHP,Novira Kusrini,The performance improvement of sustainable palm oil supply chain management after COVID-19: Priority indicators using F-AHP,2021.0,,"performance of sustainable supply chain management today, especially for palm oil, continues to experience a drastic decline from the social, economic, and environmental perspectives. Both the supply and demand sides are undergoing severe disruption due to the COVID-19 pandemic. To survive the COVID-19 situation and afterward, the palm oil industry needs to focus on priority indicators for immediate improvement. For that reason, our study aims to determine the primary indicators used to assess the performance of sustainable supply chain management to improve the palm oil industry's performance immediately. The F-AHP method is used to rank which indicators are focused on the COVID-19 situation and thereafter. The findings of this study designate that there are three main indicators, namely from the economic side (adaptability), the social side (improving employee health and safety), and the environmental side (sustainable supplier management). This finding is beneficial for the industry and for supply chain actors such as suppliers, customers, and the government in taking attitudes and setting policies related to sustainable supply chain management in the face of pandemic.",the performance improvement of sustainable palm oil supply chain management after covid priority indicators using fahp performance of sustainable supply chain management today especially for palm oil continues to experience a drastic decline from the social economic and environmental perspectives both the supply and demand sides are undergoing severe disruption due to the covid pandemic to survive the covid situation and afterward the palm oil industry needs to focus on priority indicators for immediate improvement for that reason our study aims to determine the primary indicators used to assess the performance of sustainable supply chain management to improve the palm oil industrys performance immediately the fahp method is used to rank which indicators are focused on the covid situation and thereafter the findings of this study designate that there are three main indicators namely from the economic side adaptability the social side improving employee health and safety and the environmental side sustainable supplier management this finding is beneficial for the industry and for supply chain actors such as suppliers customers and the government in taking attitudes and setting policies related to sustainable supply chain management in the face of pandemic,SDG 9,Tersier
Economic dimension of the sustainable rice availability in Indonesia,Novira Kusrini,Economic dimension of the sustainable rice availability in Indonesia,2019.0,,"is a staple food and a source of income for some Indonesians living in rural areas as farmers. The disturbance of rice availability, caused by crop and distribution failure, can result in significant shortages and increased rice prices in a short time. This often leads to social problems developing into multidimensional crisis which can threaten the national stability and disturb the unity of Indonesia's territory. This research was conducted in West Kalimantan, with the aims to analyse sustainability of rice availability in West Kalimantan based on sustainability index of economic dimension and any dominant leveraging attributes which support the sustainability with Rap-Rice method using Multidimensional Scaling (MDS). Data used primary and secondary data. The results of the analysis indicate that the index of sustainability of rice in West Kalimantan category is relatively sustainable with a value of 50.57%. The attributes that become factor of continuous leverage are farmers' accepted grain prices (2.85%), availability of production facilities (2.57%), government subsidy (2.45%) and farmers' bargaining position in crop sales.",economic dimension of the sustainable rice availability in indonesia is a staple food and a source of income for some indonesians living in rural areas as farmers the disturbance of rice availability caused by crop and distribution failure can result in significant shortages and increased rice prices in a short time this often leads to social problems developing into multidimensional crisis which can threaten the national stability and disturb the unity of indonesias territory this research was conducted in west kalimantan with the aims to analyse sustainability of rice availability in west kalimantan based on sustainability index of economic dimension and any dominant leveraging attributes which support the sustainability with raprice method using multidimensional scaling mds data used primary and secondary data the results of the analysis indicate that the index of sustainability of rice in west kalimantan category is relatively sustainable with a value of  the attributes that become factor of continuous leverage are farmers accepted grain prices  availability of production facilities  government subsidy  and farmers bargaining position in crop sales,SDG 9,Tersier
Beekeeping and Managed Bee Diversity in Indonesia: Perspective and Preference of Beekeepers,Edy Syahputra,Beekeeping and Managed Bee Diversity in Indonesia: Perspective and Preference of Beekeepers,2022.0,,"is a high diversity of bees in the tropics, including honey bees and stingless bees, which are the main sources for honey and other ecosystem services. In Indonesia, beekeeping practices have been developed for centuries, and they have been part of many cultural practices in many traditional communities. The objective of this research was to study the beekeeping status and managed bee diversity in Indonesia and to investigate beekeepers’ perspectives on the factors and obstacles related to beekeeping. Direct interview and online interview were conducted to gain data on bees and beekeepers. In total, 272 beekeepers were interviewed across 25 provinces. Samplings of honey bees and stingless bees were also done during direct interviews for further identification and, when possible, pollen identification. All data and specimens were then sent to IPB Bogor for compilation and identification. We recorded 22 species of bees, including 3 species of honey bees and 19 species of stingless bees, that are reared by Indonesian beekeepers, with Apis cerana and Tetragonula laeviceps as the most common species. Our research also found that the majority of beekeepers fall into the category of the younger generation (30–39 years old) with educational background mostly from senior high school. Based on the beekeepers’ perspectives, there are several obstacles to beekeeping, especially the occurrence of death of bee foragers attributed to climate, food source, and pesticides. In conclusion, there is a need to develop a strategy for beekeeping and bee conservation in Indonesia, especially for adaptation and mitigation from environmental changes with a particular focus on climate and land-use change.",beekeeping and managed bee diversity in indonesia perspective and preference of beekeepers is a high diversity of bees in the tropics including honey bees and stingless bees which are the main sources for honey and other ecosystem services in indonesia beekeeping practices have been developed for centuries and they have been part of many cultural practices in many traditional communities the objective of this research was to study the beekeeping status and managed bee diversity in indonesia and to investigate beekeepers perspectives on the factors and obstacles related to beekeeping direct interview and online interview were conducted to gain data on bees and beekeepers in total  beekeepers were interviewed across  provinces samplings of honey bees and stingless bees were also done during direct interviews for further identification and when possible pollen identification all data and specimens were then sent to ipb bogor for compilation and identification we recorded  species of bees including  species of honey bees and  species of stingless bees that are reared by indonesian beekeepers with apis cerana and tetragonula laeviceps as the most common species our research also found that the majority of beekeepers fall into the category of the younger generation  years old with educational background mostly from senior high school based on the beekeepers perspectives there are several obstacles to beekeeping especially the occurrence of death of bee foragers attributed to climate food source and pesticides in conclusion there is a need to develop a strategy for beekeeping and bee conservation in indonesia especially for adaptation and mitigation from environmental changes with a particular focus on climate and landuse change,SDG 9,Tersier
Joint Action of Azadirachta indica and Barringtonia asiatica Seed Extracts against Crocidolomia pavonana,Edy Syahputra,Joint Action of Azadirachta indica and Barringtonia asiatica Seed Extracts against Crocidolomia pavonana,2022.0,,"high population of Crocidolomia pavonana larvae reduces Brassicaceae crop productivity. To control the pest population, mixed plant extract as botanical insecticides is one of the alternatives. The purpose of this research is to evaluate the joint action between mixed extracts of Azadirachta indica and Barringtonia asiatica seed extracts against C. pavonana larvae and the effect on feeding behavior. The seeds are extracted with ethanol using the maceration method. Bioassays are conducted by a feeding method. Each level of concentration tested and controlled is repeated five times. The concentration-mortality relationship is analyzed using probit. Feeding behavior assayed by choice and no-choice at concentrations equivalent to LC25, LC50, and LC75. The results show the mixture of A. indica and B. asiatica seed extract at a ratio of 3:2.3 has a strongly synergistic action with an LC50 of 0.04% and a combination index of 0.27. The extract mixture at a concentration of 0.02-0.08% is reduced feeding activity 77.16-92.84%. Further research is needed to evaluate the extract mixture in the field.",joint action of azadirachta indica and barringtonia asiatica seed extracts against crocidolomia pavonana high population of crocidolomia pavonana larvae reduces brassicaceae crop productivity to control the pest population mixed plant extract as botanical insecticides is one of the alternatives the purpose of this research is to evaluate the joint action between mixed extracts of azadirachta indica and barringtonia asiatica seed extracts against c pavonana larvae and the effect on feeding behavior the seeds are extracted with ethanol using the maceration method bioassays are conducted by a feeding method each level of concentration tested and controlled is repeated five times the concentrationmortality relationship is analyzed using probit feeding behavior assayed by choice and nochoice at concentrations equivalent to lc lc and lc the results show the mixture of a indica and b asiatica seed extract at a ratio of  has a strongly synergistic action with an lc of  and a combination index of  the extract mixture at a concentration of  is reduced feeding activity  further research is needed to evaluate the extract mixture in the field,SDG 9,Tersier
Preliminary dengue vector surveillance in the sunda islands indonesia: Interchange of breeding habitat preferences of aedes aegypti and aedes albopictus,Edy Syahputra,"Preliminary dengue vector surveillance in the Sunda Islands, Indonesia: Interchange of breeding habitat preferences of Aedes aegypti and Aedes albopictus.",2019.0,,"surveillance was conducted to determine the infestation patterns of dengue vectors in fourteen study sites across eight provinces located in the Sunda Islands, Indonesia. High ovitrap indices up to 70% and 90% were obtained from indoor and outdoor areas, respectively. Mean numbers of Ae. aegypti and Ae. albopictus larvae ranged from 0.13 to 14.50 and 0.10 to 18.60, respectively. Mixed infestation (<10%) and interchange of breeding habitat preferences of Ae. albopictus and Ae. aegypti were also observed in the present study.",preliminary dengue vector surveillance in the sunda islands indonesia interchange of breeding habitat preferences of aedes aegypti and aedes albopictus surveillance was conducted to determine the infestation patterns of dengue vectors in fourteen study sites across eight provinces located in the sunda islands indonesia high ovitrap indices up to  and  were obtained from indoor and outdoor areas respectively mean numbers of ae aegypti and ae albopictus larvae ranged from  to  and  to  respectively mixed infestation  and interchange of breeding habitat preferences of ae albopictus and ae aegypti were also observed in the present study,SDG 9,Tersier
